,0,1,2,3,4,5
0,16.980468744619863,101.50161394517158,68.12267916962996,64.71603587279787,68.38846211382871,68.97999094313275
1,32.93304425906449,195.84210693406277,131.983279002454,125.50130313792944,132.53214858776388,132.96019195134838
2,47.97977642910037,285.9578763661737,191.9353276120515,183.380642350723,193.62808861890443,193.391913442242
3,62.377161704402056,372.6621791148839,249.28948925608393,239.57996740085474,252.83662408305815,251.34410595255474
4,76.32866737638999,458.46523007859037,305.0577226121959,295.3358222443395,311.7022028696746,307.52226436584687
5,90.02380910368103,548.3393756149566,360.0890516818395,353.59488517393623,373.6515170351684,362.59931304568687
6,103.63563994020488,648.8653040552256,415.2279302390798,419.16501307846113,443.2200374084147,417.47981363318235
7,117.45133357407562,759.7203521537585,471.5114961026929,490.81641811576543,518.3250592486797,472.6398882628783
8,132.05382490710844,869.1379441018667,530.5529488773568,561.3340104894061,591.3958846654716,530.7268986352094
9,147.06050736271771,978.7127604116505,590.0601754504798,631.1856130579818,662.5388206593786,590.9497815666823
10,162.55295742462397,1086.7972633463064,649.4688080349558,700.7110571331683,731.8747134017528,651.6794042251098
11,178.13712487246784,1192.9793656392822,708.095630007553,769.0050834864794,799.4163733508422,715.1083681194306
12,193.5003738241923,1295.698902716393,765.9880344276944,835.9907132259459,864.6130505466108,781.5235473007748
13,208.57221797586203,1395.3398319991659,823.6281254534102,902.3571783871657,928.1005972087446,848.1285805203071
14,223.52239549560386,1493.1317863908503,880.6311255083563,967.9267126570281,990.0329798620594,912.0442262737214
15,238.48872478580373,1589.0580755106064,935.9371516540665,1033.6352754336851,1050.185148631944,974.6637272788815
16,254.45898806080825,1686.7359974803844,993.9824276653176,1101.529403691867,1111.5042900173125,1039.8559120563953
17,272.0254633950007,1795.0717186943555,1063.3348994069252,1175.1533446356477,1180.1936629092593,1110.3272598089145
18,289.9163187781592,1907.470541492098,1136.1358543241008,1252.043673517058,1255.2650521119738,1182.2017073977752
19,307.30106026738963,2017.0523403241546,1207.301709383024,1326.9198895585528,1328.748832174159,1252.6357549381746
20,324.06690900062716,2122.153559920518,1275.988500029403,1398.7762292153693,1400.06605879271,1321.3778808796587
21,339.8380409637027,2220.88634709937,1340.568622353614,1465.7144411324211,1466.5125273269332,1386.607587025709
22,354.1504591125704,2309.0004083538342,1398.972738593618,1524.7219640960463,1525.7511160090153,1446.6308833333846
23,366.7513282950923,2386.614962986299,1450.4139034045604,1576.3877485917862,1578.027050072253,1500.2049542983214
