Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
General_EV_HL1,0.287886,0.270377,0.249805,0.229573,0.209572,0.192119,0.171339,0.153678,0.136488,0.114384,0.095239,0.079496,0.064825,0.050835,0.040898,0.033208,0.029062,0.025978,0.02626,0.027519,0.030208,0.034646,0.041153,0.046876
General_EV_HL2,0.192469,0.15273,0.111751,0.078092,0.065004,0.04928,0.029754,0.019105,0.011611,0.00894,0.00682,0.005935,0.008014,0.008628,0.008499,0.013746,0.018824,0.020762,0.026335,0.023779,0.032027,0.04674,0.052404,0.070733
General_EV_WL1,0.001017,0.00098,0.00084,0.00084,0.00084,0.000649,0.000607,0.000915,0.00098,0.001148,0.002127,0.004817,0.007094,0.010939,0.014439,0.018891,0.020875,0.022661,0.022405,0.022746,0.022485,0.02266,0.021017,0.020552
General_EV_WL2,0.00342,0.0024,0.0021,0.00312,0.002563,0.00282,0.002494,0.004572,0.00692,0.016772,0.025674,0.050821,0.072015,0.12018,0.149276,0.208116,0.224435,0.225212,0.202603,0.17079,0.137195,0.114543,0.097653,0.073755
General_EV_PL1,0.017341,0.013425,0.009497,0.010158,0.005958,0.00383,0.002782,0.00276,0.002337,0.003239,0.01028,0.014754,0.022106,0.033674,0.047018,0.069502,0.078205,0.094916,0.10399,0.118041,0.122601,0.126804,0.126706,0.122057
General_EV_PL2,0,0,0,0,0,0,0,0,0,0,0,0,0.000851,0.000548,0.0041,0.008329,0.008311,0.009518,0.01115,0.011874,0.011323,0.015876,0.014098,0.024478
