Hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
1EV_Cl1,0.501771,0.432523,0.371318,0.318149,0.271972,0.233532,0.202468,0.180632,0.168056,0.168255,0.186932,0.219388,0.253236,0.294105,0.366083,0.475527,0.615054,0.731825,0.774675,0.786432,0.77827,0.73231,0.661841,0.579503,0.440181,0.382917,0.331595,0.288033,0.250064,0.218543,0.193546,0.176422,0.173881,0.187269,0.226647,0.289158,0.349052,0.40474,0.459011,0.516082,0.569569,0.614408,0.644542,0.664739,0.657741,0.621284,0.571043,0.504442,0.440181,0.382917,0.331595,0.288033,0.250064,0.218543,0.193546,0.176422,0.173881,0.187269,0.226647,0.289158,0.349052,0.40474,0.459011,0.516082,0.569569,0.614408,0.644542,0.664739,0.657741,0.621284,0.571043,0.504442,0.501771,0.432523,0.371318,0.318149,0.271972,0.233532,0.202468,0.180632,0.168056,0.168255,0.186932,0.219388,0.253236,0.294105,0.366083,0.475527,0.615054,0.731825,0.774675,0.786432,0.77827,0.73231,0.661841,0.579503,0.501771,0.432523,0.371318,0.318149,0.271972,0.233532,0.202468,0.180632,0.168056,0.168255,0.186932,0.219388,0.253236,0.294105,0.366083,0.475527,0.615054,0.731825,0.774675,0.786432,0.77827,0.73231,0.661841,0.579503,0.501771,0.432523,0.371318,0.318149,0.271972,0.233532,0.202468,0.180632,0.168056,0.168255,0.186932,0.219388,0.253236,0.294105,0.366083,0.475527,0.615054,0.731825,0.774675,0.786432,0.77827,0.73231,0.661841,0.579503,0.501771,0.432523,0.371318,0.318149,0.271972,0.233532,0.202468,0.180632,0.168056,0.168255,0.186932,0.219388,0.253236,0.294105,0.366083,0.475527,0.615054,0.731825,0.774675,0.786432,0.77827,0.73231,0.661841,0.579503
1EV_Cl2,0.326282,0.265971,0.215963,0.175433,0.142514,0.116612,0.097134,0.086001,0.082651,0.091109,0.116412,0.152878,0.186534,0.226837,0.295307,0.398277,0.524891,0.623791,0.645968,0.638496,0.615105,0.558531,0.481507,0.398941,0.298216,0.248272,0.206412,0.171994,0.143203,0.120299,0.103101,0.093509,0.097513,0.115705,0.157805,0.21969,0.275698,0.324248,0.370508,0.419933,0.464316,0.498222,0.519034,0.529797,0.514574,0.473455,0.421803,0.357444,0.298216,0.248272,0.206412,0.171994,0.143203,0.120299,0.103101,0.093509,0.097513,0.115705,0.157805,0.21969,0.275698,0.324248,0.370508,0.419933,0.464316,0.498222,0.519034,0.529797,0.514574,0.473455,0.421803,0.357444,0.326282,0.265971,0.215963,0.175433,0.142514,0.116612,0.097134,0.086001,0.082651,0.091109,0.116412,0.152878,0.186534,0.226837,0.295307,0.398277,0.524891,0.623791,0.645968,0.638496,0.615105,0.558531,0.481507,0.398941,0.326282,0.265971,0.215963,0.175433,0.142514,0.116612,0.097134,0.086001,0.082651,0.091109,0.116412,0.152878,0.186534,0.226837,0.295307,0.398277,0.524891,0.623791,0.645968,0.638496,0.615105,0.558531,0.481507,0.398941,0.326282,0.265971,0.215963,0.175433,0.142514,0.116612,0.097134,0.086001,0.082651,0.091109,0.116412,0.152878,0.186534,0.226837,0.295307,0.398277,0.524891,0.623791,0.645968,0.638496,0.615105,0.558531,0.481507,0.398941,0.326282,0.265971,0.215963,0.175433,0.142514,0.116612,0.097134,0.086001,0.082651,0.091109,0.116412,0.152878,0.186534,0.226837,0.295307,0.398277,0.524891,0.623791,0.645968,0.638496,0.615105,0.558531,0.481507,0.398941
1EV_Cl3,0.343869,0.282091,0.230975,0.18881,0.153974,0.126786,0.106058,0.093945,0.090059,0.097756,0.12244,0.158962,0.192883,0.233371,0.30289,0.407181,0.53526,0.63565,0.660591,0.655782,0.633193,0.577384,0.500979,0.417697,0.343869,0.282091,0.230975,0.18881,0.153974,0.126786,0.106058,0.093945,0.090059,0.097756,0.12244,0.158962,0.192883,0.233371,0.30289,0.407181,0.53526,0.63565,0.660591,0.655782,0.633193,0.577384,0.500979,0.417697,0.343869,0.282091,0.230975,0.18881,0.153974,0.126786,0.106058,0.093945,0.090059,0.097756,0.12244,0.158962,0.192883,0.233371,0.30289,0.407181,0.53526,0.63565,0.660591,0.655782,0.633193,0.577384,0.500979,0.417697,0.343869,0.282091,0.230975,0.18881,0.153974,0.126786,0.106058,0.093945,0.090059,0.097756,0.12244,0.158962,0.192883,0.233371,0.30289,0.407181,0.53526,0.63565,0.660591,0.655782,0.633193,0.577384,0.500979,0.417697,0.343869,0.282091,0.230975,0.18881,0.153974,0.126786,0.106058,0.093945,0.090059,0.097756,0.12244,0.158962,0.192883,0.233371,0.30289,0.407181,0.53526,0.63565,0.660591,0.655782,0.633193,0.577384,0.500979,0.417697,0.343869,0.282091,0.230975,0.18881,0.153974,0.126786,0.106058,0.093945,0.090059,0.097756,0.12244,0.158962,0.192883,0.233371,0.30289,0.407181,0.53526,0.63565,0.660591,0.655782,0.633193,0.577384,0.500979,0.417697,0.343869,0.282091,0.230975,0.18881,0.153974,0.126786,0.106058,0.093945,0.090059,0.097756,0.12244,0.158962,0.192883,0.233371,0.30289,0.407181,0.53526,0.63565,0.660591,0.655782,0.633193,0.577384,0.500979,0.417697
1EV_Cl4,0.285355,0.228301,0.182097,0.145456,0.116048,0.093623,0.077272,0.068479,0.067271,0.077295,0.103314,0.140172,0.173246,0.211985,0.278837,0.379485,0.502191,0.594917,0.610789,0.598275,0.571198,0.511947,0.436162,0.355732,0.265253,0.218195,0.178945,0.147126,0.1208,0.100066,0.084566,0.076561,0.081997,0.100871,0.142691,0.204061,0.25776,0.303749,0.347984,0.394419,0.435568,0.466405,0.484186,0.494005,0.47699,0.435356,0.384748,0.321903,0.265253,0.218195,0.178945,0.147126,0.1208,0.100066,0.084566,0.076561,0.081997,0.100871,0.142691,0.204061,0.25776,0.303749,0.347984,0.394419,0.435568,0.466405,0.484186,0.494005,0.47699,0.435356,0.384748,0.321903,0.285355,0.228301,0.182097,0.145456,0.116048,0.093623,0.077272,0.068479,0.067271,0.077295,0.103314,0.140172,0.173246,0.211985,0.278837,0.379485,0.502191,0.594917,0.610789,0.598275,0.571198,0.511947,0.436162,0.355732,0.285355,0.228301,0.182097,0.145456,0.116048,0.093623,0.077272,0.068479,0.067271,0.077295,0.103314,0.140172,0.173246,0.211985,0.278837,0.379485,0.502191,0.594917,0.610789,0.598275,0.571198,0.511947,0.436162,0.355732,0.285355,0.228301,0.182097,0.145456,0.116048,0.093623,0.077272,0.068479,0.067271,0.077295,0.103314,0.140172,0.173246,0.211985,0.278837,0.379485,0.502191,0.594917,0.610789,0.598275,0.571198,0.511947,0.436162,0.355732,0.285355,0.228301,0.182097,0.145456,0.116048,0.093623,0.077272,0.068479,0.067271,0.077295,0.103314,0.140172,0.173246,0.211985,0.278837,0.379485,0.502191,0.594917,0.610789,0.598275,0.571198,0.511947,0.436162,0.355732
