Hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Load 11,0.518466828,0.487735093,0.462996487,0.451498159,0.450661936,0.458188083,0.48041809,0.51121947,0.566341449,0.607595791,0.651080083,0.671428501,0.674843107,0.673658452,0.676445908,0.684041769,0.739303037,0.825435469,0.843693295,0.814912864,0.778536501,0.720766494,0.639372752,0.5513588
Load 12,0.491707204,0.460418034,0.445714243,0.447595762,0.458745588,0.505714272,0.613240418,0.706271706,0.711567902,0.724529532,0.740069616,0.766968528,0.781742104,0.778536571,0.756445922,0.724111456,0.735191638,0.838466814,0.898606201,0.867735107,0.831637602,0.767735107,0.670104487,0.575818759
Load 13,0.515121937,0.485992932,0.471358857,0.466968599,0.48104524,0.52891979,0.634773491,0.728850146,0.728501714,0.733240404,0.738048667,0.736864013,0.727595706,0.719651483,0.711428543,0.704250829,0.741323985,0.84613239,0.884250843,0.859163735,0.821881505,0.756933713,0.66209055,0.568989476
Load 14,0.509546953,0.479094006,0.463344849,0.45909402,0.470801351,0.519790912,0.62243901,0.724390173,0.726480766,0.742090493,0.75261324,0.754634118,0.762299553,0.758745588,0.759512167,0.758815303,0.787386731,0.875749044,0.906620138,0.8756794,0.84076648,0.773170661,0.674982536,0.578257783
Load 15,0.51770032,0.478397142,0.465365797,0.458536585,0.471428501,0.521184641,0.626480766,0.726062689,0.731846676,0.755191553,0.762578341,0.763205561,0.750383219,0.739930257,0.735191567,0.728083567,0.746202034,0.833797909,0.865714229,0.842090564,0.803902397,0.748919776,0.658188083,0.569128906
Load 16,0.505017337,0.472125436,0.454564403,0.450034787,0.464041784,0.508571372,0.603275247,0.698884989,0.712822271,0.731986034,0.736306507,0.732891972,0.731846676,0.724041812,0.720836138,0.731080097,0.757073142,0.819163692,0.835121923,0.799930215,0.762787414,0.712473769,0.646550466,0.575539971
Load 17,0.517212529,0.480348375,0.455888417,0.445853602,0.448153268,0.458257727,0.489198536,0.528989505,0.569337908,0.608919804,0.628153282,0.63066195,0.622508654,0.612404125,0.599024348,0.591498201,0.608362299,0.695609671,0.745156738,0.725156752,0.696097533,0.654146327,0.608501657,0.544947664
Load 18,0.493588794,0.458397156,0.436167219,0.427247344,0.427526062,0.435052208,0.45972117,0.486759511,0.533170689,0.582717685,0.609546953,0.65672471,0.705505127,0.720418062,0.697769978,0.689686397,0.72655041,0.79337972,0.805574842,0.784599204,0.758257727,0.707526076,0.641114983,0.56146333
Load 19,0.500627149,0.46968634,0.452961602,0.449407567,0.460766466,0.492961573,0.596515679,0.697560976,0.712195122,0.720557491,0.740069686,0.750522648,0.761672474,0.763763066,0.763763066,0.735888502,0.719163763,0.825992975,0.887317017,0.869477267,0.830940738,0.768850118,0.672125365,0.581463316
Load 20,0.520487706,0.488153239,0.473379734,0.470661993,0.483693337,0.538745531,0.645435455,0.7312891,0.746480822,0.753937254,0.752404167,0.741114912,0.722229866,0.713170703,0.707944152,0.702160236,0.726829198,0.829756083,0.885505142,0.872891944,0.839233393,0.776515623,0.679581797,0.582369253
Load 21,0.527526062,0.49400687,0.478885003,0.475888473,0.491289199,0.545365811,0.650661936,0.739790898,0.732334466,0.731010382,0.725992975,0.717700249,0.706411065,0.678327498,0.670034773,0.686202006,0.708571372,0.813449421,0.881811748,0.868780403,0.833519121,0.770731707,0.67094071,0.575679329
Load 22,0.516724668,0.484320487,0.468919762,0.466968528,0.482996403,0.536724725,0.647107972,0.729825727,0.72306616,0.722508654,0.720487777,0.715121866,0.702160236,0.696027818,0.687665449,0.674425031,0.692404139,0.782090536,0.856794354,0.836864083,0.808780445,0.747038257,0.655818773,0.568153254
Load 23,0.50933788,0.479024291,0.463066131,0.459024305,0.476724626,0.526620195,0.629128863,0.720627135,0.727456418,0.730104515,0.732473825,0.729198578,0.720836209,0.714425073,0.714355288,0.723205518,0.744808306,0.811010396,0.845017379,0.81407657,0.780766522,0.731846605,0.665365797,0.589407609
Load 24,0.527595776,0.491985992,0.471498215,0.46083618,0.465296153,0.477839636,0.517700249,0.567735107,0.615470369,0.646968613,0.651916306,0.641184627,0.629268222,0.609477309,0.599999929,0.596236891,0.610313532,0.692195065,0.758675944,0.736376222,0.710522535,0.680975525,0.624599247,0.56271777
Load 25,0.507177644,0.46982577,0.449755999,0.443902368,0.443902368,0.452543526,0.47979087,0.513240347,0.555818773,0.594425016,0.611776904,0.607665435,0.608989519,0.615400654,0.609268236,0.605156766,0.622369296,0.719930271,0.770731637,0.76445986,0.741672417,0.692961644,0.60822294,0.528919861
Load 26,0.473519093,0.444808306,0.431080097,0.431567888,0.446411107,0.493310076,0.600069644,0.689198536,0.693031288,0.707317002,0.722717728,0.723972097,0.723205518,0.729895371,0.730452877,0.739790898,0.769755984,0.84013926,0.878188068,0.853240319,0.815121866,0.752822243,0.65310096,0.560975539
Load 27,0.500766437,0.463623637,0.449546996,0.449128849,0.459303093,0.509407595,0.613728209,0.712682913,0.710940752,0.715400654,0.711498187,0.707317002,0.706829212,0.702299595,0.692822286,0.68926825,0.704390187,0.789477324,0.854355401,0.833728124,0.795121881,0.737770021,0.644947664,0.555958132
Load 28,0.496864041,0.46557487,0.451916306,0.448083553,0.461045254,0.511986049,0.617769964,0.703623679,0.703205532,0.715052222,0.71358885,0.708919804,0.699093992,0.703553894,0.69700347,0.693310076,0.717212459,0.801463372,0.862299553,0.834634132,0.798815274,0.738884961,0.642369281,0.557282145
Load 29,0.50348425,0.468432042,0.451010368,0.453449463,0.463553922,0.510104459,0.615888445,0.699094063,0.705365769,0.719860627,0.718954619,0.713658494,0.708362299,0.70585363,0.699024348,0.685087066,0.692613141,0.766480737,0.84250864,0.827804779,0.792334424,0.740836195,0.655958132,0.566689881
Load 30,0.533588765,0.491567916,0.470592278,0.459790884,0.46209055,0.473100946,0.512264695,0.572334438,0.626271763,0.667038313,0.709337951,0.719999915,0.712195051,0.694494731,0.67268287,0.669546982,0.704181185,0.790661978,0.815470298,0.785714215,0.752682884,0.714006926,0.657630577,0.585923288
