Hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1EV_Cl1,0.146913,0.08421,0.047272,0.025847,0.011792,0.007848,0.010958,0.030727,0.062668,0.121562,0.220723,0.330996,0.397714,0.47972,0.669082,0.944397,1.242667,1.353642,1.179015,1.0145,0.874129,0.659733,0.44235,0.257863
2EV_Cl2,0.293826,0.16842,0.094544,0.051694,0.023584,0.015696,0.021916,0.061454,0.125336,0.243124,0.441446,0.661992,0.795428,0.95944,1.338164,1.888794,2.485334,2.707284,2.35803,2.029,1.748258,1.319466,0.8847,0.515726
1EV_Cl2,0.068186,0.037382,0.019089,0.009877,0.003719,0.003678,0.008122,0.02527,0.050986,0.097971,0.179019,0.261363,0.303612,0.362412,0.512657,0.731979,0.948913,1.000437,0.820711,0.684401,0.58361,0.418005,0.255781,0.133295
2EV_Cl2,0.136372,0.074764,0.038178,0.019754,0.007438,0.007356,0.016244,0.05054,0.101972,0.195942,0.358038,0.522726,0.607224,0.724824,1.025314,1.463958,1.897826,2.000874,1.641422,1.368802,1.16722,0.83601,0.511562,0.26659
1EV_Cl3,0.074535,0.041036,0.020752,0.0107,0.004242,0.004107,0.00831,0.025958,0.52107,0.101306,0.180666,0.267243,0.310562,0.37097,0.528154,0.751629,0.980407,1.041274,0.857136,0.716657,0.60786,0.434677,0.269327,0.142942
2EV_Cl3,0.14907,0.082072,0.041504,0.0214,0.008484,0.008214,0.01662,0.051916,1.04214,0.202612,0.361332,0.534486,0.621124,0.74194,1.056308,1.503258,1.960814,2.082548,1.714272,1.433314,1.21572,0.869354,0.538654,0.285884
1EV_Cl4,0.055485,0.29586,0.015093,0.008164,0.002878,0.003145,0.007598,0.024038,0.047854,0.091569,0.166318,0.240084,0.277671,0.329896,0.472966,0.676308,0.875772,0.917127,0.738249,0.616764,0.519745,0.366073,0.220981,0.111021
2EV_Cl4,0.11097,0.59172,0.030186,0.016328,0.005756,0.00629,0.015196,0.048076,0.095708,0.183138,0.332636,0.480168,0.555342,0.659792,0.945932,1.352616,1.751544,1.834254,1.476498,1.233528,1.03949,0.732146,0.441962,0.222042
