DateTime,Meter 01,Meter 02,Meter 03,Meter 04,Meter 05,Meter 06,Meter 07,Meter 08,Meter 09,Meter 010
00:00.0,0.241,0.095,0.125,0.208,0.049,0.077,0.143,0.493,0.232,0.626
30:00.0,0.229,3.227,0.097,0.056,0,0.059,0.093,0.234,0.133,0.368
00:00.0,0.169,3.3,0.035,0.045,0,0.063,0.116,0.214,0.06,0.336
30:00.0,0.089,2.9849999,0.032,0.109,0,0.062,0.072,0.252,0.06,0.253
00:00.0,0.118,2.257,0.093,0.041,0.04,0.063,0.07,0.285,0.061,0.201
30:00.0,0.108,2.5940001,0.068,0.054,0.055,0.075,0.115,0.276,0.06,0.209
00:00.0,0.095,2.3670001,0.083,0.099,0.038,0.055,0.078,0.232,0.06,0.212
30:00.0,0.127,2.674,0.102,0.146,0,0.07,0.071,1.335,0.06,0.148
00:00.0,0.077,2.4790001,0.1,0.046,0,0.055,0.107,0.226,0.06,0.201
30:00.0,0.126,2.6329999,0.054,0.125,0,0.21,0.086,0.227,0.059,0.19
00:00.0,0.099,1.939,0.047,0.11,0.052,0.129,0.068,0.274,0.059,0.216
30:00.0,0.103,1.859,0.063,0.06,0.054,0.273,0.095,0.271,0.058,0.147
00:00.0,0.12,2.0910001,0.069,0.055,0.033,0.105,0.092,0.276,0.059,0.164
30:00.0,0.079,1.642,0.068,0.11,0,0.089,0.177,0.214,0.058,0.212
00:00.0,0.122,1.813,0.094,0.081,0,0.34,0.434,0.343,0.058,0.272
30:00.0,0.086,0.158,0.082,0.037,0,0.176,0.244,1.6059999,0.058,0.214
00:00.0,0.108,0.24,0.034,0.116,0.05,0.225,0.114,0.62,0.059,0.339
30:00.0,0.15,0.304,0.07,0.055,0.052,0.252,0.078,0.633,0.058,0.704
00:00.0,0.087,0.247,0.168,0.274,0.004,0.295,0.113,0.716,0.059,0.444
30:00.0,0.581,0.251,0.165,0.412,0,0.18,0.068,1.239,0.058,0.206
00:00.0,0.162,0.18,0.947,0.307,0,0.164,0.434,0.957,0.058,0.168
30:00.0,0.141,0.356,0.67,0.649,0.049,0.183,0.17,0.546,0.269,0.163
00:00.0,0.102,0.295,0.126,0.674,0.053,0.173,0.167,1.119,0.575,0.291
30:00.0,0.138,0.164,0.131,0.324,0.033,0.178,0.259,0.796,0.146,0.26
00:00.0,0.107,0.114,0.137,0.255,0,0.164,0.142,1.296,0.137,0.162
30:00.0,0.379,0.092,0.189,0.283,0,0.159,0.11,0.582,0.124,0.183
00:00.0,0.237,0.079,0.136,0.891,0.002,0.15,0.07,0.511,0.127,0.199
30:00.0,0.117,0.153,0.182,0.166,0.055,0.133,0.069,0.518,0.356,1.253
00:00.0,0.156,0.107,0.164,0.182,0.053,0.145,0.107,0.539,0.205,0.701
30:00.0,0.091,0.082,0.173,0.128,0.027,0.154,0.152,0.417,0.063,2.487
00:00.0,0.128,0.12,0.123,0.117,0,0.164,0.297,1.572,0.097,2.1989999
30:00.0,0.117,0.136,0.109,0.299,0,0.132,0.269,0.478,0.243,1.234
00:00.0,0.094,0.124,0.077,0.141,0.006,0.149,0.199,0.471,0.288,0.959
30:00.0,0.219,0.121,0.047,0.148,0.055,0.308,0.137,0.463,0.25,0.751
00:00.0,0.222,0.254,0.216,0.273,0.053,0.201,0.171,0.424,0.421,0.653
30:00.0,0.224,0.235,0.244,0.224,0.024,0.223,0.216,0.401,0.505,4.7090001
00:00.0,0.218,0.244,0.239,0.417,0,0.616,0.206,0.418,0.44,2.323
30:00.0,0.189,0.446,0.311,0.238,0,0.327,0.209,0.484,0.407,0.814
00:00.0,0.727,0.194,0.985,0.27,0.008,0.362,0.209,1.818,0.439,0.946
30:00.0,0.723,0.23,0.399,0.275,0.055,0.404,0.598,0.835,0.345,1.069
00:00.0,0.256,0.175,0.185,0.123,0.051,0.427,0.787,0.612,0.259,1.025
30:00.0,0.213,0.156,0.223,0.146,0.009,0.409,0.935,0.596,0.341,1.455
00:00.0,0.268,0.19,0.257,0.173,0,0.442,0.36,0.717,0.218,2.8699999
30:00.0,0.256,0.128,0.286,0.182,0,0.585,0.45,1.666,0.886,1.54
00:00.0,0.252,0.124,0.257,0.239,0.033,0.465,0.323,1.663,0.826,3.95
30:00.0,0.276,0.174,0.241,0.23,0.055,0.392,0.288,1.74,0.526,1.39
00:00.0,0.236,0.157,0.404,0.299,0.05,0.398,0.261,0.528,0.427,2.066
30:00.0,0.277,0.16,0.249,0.143,0.001,0.298,0.299,0.48,0.347,0.96
00:00.0,0.229,0.135,0.191,0.196,0,0.125,0.175,0.447,0.346,0.73
30:00.0,0.251,3.0650001,0.073,0.061,0,0.064,0.077,0.223,0.39,0.989
00:00.0,0.223,3.109,0.031,0.044,0.038,0.069,0.067,0.224,0.266,0.273
30:00.0,0.104,2.9879999,0.032,0.1,0.054,0.055,0.085,0.239,0.23,0.291
00:00.0,0.131,2.027,0.058,0.053,0.047,0.073,0.048,0.284,0.059,0.247
30:00.0,0.075,2.5179999,0.086,0.045,0,0.059,0.053,0.293,0.06,0.213
00:00.0,0.13,2.2709999,0.149,0.092,0,0.057,0.093,0.249,0.06,0.205
30:00.0,0.093,2.5469999,0.109,0.047,0,0.069,0.05,0.214,0.06,0.251
00:00.0,0.112,2.3410001,0.066,0.046,0.037,0.059,0.048,1.2920001,0.059,0.227
30:00.0,0.111,2.3740001,0.067,0.101,0.055,0.066,0.087,0.375,0.058,0.213
00:00.0,0.093,2.145,0.06,0.06,0.046,0.072,0.062,0.264,0.059,0.215
30:00.0,0.126,1.618,0.032,0.054,0.001,0.163,0.047,0.287,0.058,0.406
00:00.0,0.075,2.8570001,0.071,0.11,0,0.112,0.073,0.277,0.058,0.273
30:00.0,0.125,1.932,0.103,0.039,0,0.271,0.183,0.305,0.059,0.263
00:00.0,0.088,2.1860001,0.099,0.092,0.035,0.237,0.383,0.434,0.058,0.262
30:00.0,0.111,0.223,0.06,0.079,0.054,0.488,0.19,0.559,0.058,0.727
00:00.0,0.105,0.204,0.03,0.061,0.046,0.282,0.118,1.3940001,0.058,1.108
30:00.0,0.125,0.138,0.252,0.125,0,0.394,0.182,0.642,0.029,0.435
00:00.0,0.488,0.081,0.197,0.572,0,0.203,0.213,0.529,0.235,0.351
30:00.0,0.169,0.111,0.506,0.147,0,0.186,0.12,0.473,0.077,0.257
00:00.0,0.158,0.087,1.028,0.772,0.037,0.15,0.072,0.445,0.104,0.248
30:00.0,0.106,0.123,0.103,0.267,0.054,0.124,0.07,0.477,0.078,0.225
00:00.0,0.096,0.153,0.097,0.125,0.048,0.136,0.117,0.472,0.058,0.604
30:00.0,0.122,0.077,0.107,0.187,0,0.116,0.079,0.502,0.071,0.396
00:00.0,0.103,0.402,0.107,0.384,0,0.133,0.07,0.519,0.076,0.239
30:00.0,0.123,0.795,0.202,0.146,0,0.123,0.1,0.314,0.455,0.193
00:00.0,0.136,0.412,0.178,0.376,0.034,0.132,0.095,0.261,0.109,0.433
30:00.0,0.488,0.274,0.153,0.189,0.054,0.118,0.071,0.254,0.228,1.543
00:00.0,0.424,0.224,0.094,0.129,0.031,0.134,0.082,0.245,0.111,0.366
30:00.0,0.186,0.161,0.063,0.163,0,0.125,0.112,0.281,0.131,0.964
00:00.0,0.324,0.168,0.043,0.095,0,0.142,0.069,1.405,0.162,0.992
30:00.0,0.34,0.116,0.056,0.106,0.013,0.312,0.068,0.325,0.135,1.434
00:00.0,0.156,0.128,0.08,0.27,0.055,0.372,0.107,0.944,0.129,1.391
30:00.0,0.124,0.164,0.14,0.158,0.052,0.219,0.082,0.594,0.246,1.163
00:00.0,0.16,0.168,0.128,0.237,0.021,0.333,0.068,0.384,0.429,2.4760001
30:00.0,0.24,0.133,0.162,0.229,0,0.292,0.161,0.43,0.285,2.2720001
00:00.0,0.232,0.083,0.103,0.398,0,1.224,0.171,0.641,0.268,1.1289999
30:00.0,0.356,0.153,0.103,0.254,0.015,0.404,0.123,0.591,0.272,1.124
00:00.0,0.385,0.122,0.065,0.187,0.055,0.215,0.119,1.858,0.414,1.535
30:00.0,1.2410001,0.101,0.099,0.254,0.05,0.213,0.182,0.515,0.768,1.3660001
00:00.0,0.779,0.209,0.108,0.207,0.003,0.207,0.454,0.727,0.384,1.385
30:00.0,0.301,0.143,0.488,0.257,0,0.202,0.726,0.875,0.48,0.979
00:00.0,0.338,0.175,0.518,0.228,0,0.185,0.841,0.748,0.213,2.9130001
30:00.0,0.498,0.3,0.208,0.194,0.046,0.452,0.352,1.649,0.457,0.782
00:00.0,0.301,0.129,0.238,0.25,0.052,0.343,0.419,2.22,0.632,0.654
30:00.0,0.303,0.14,0.218,0.247,0.011,0.452,0.325,1.216,0.714,1.0599999
00:00.0,0.362,0.16,0.301,0.401,0,0.456,0.28,0.599,0.669,2.332
30:00.0,0.294,0.114,0.185,0.195,0,0.437,0.266,0.686,0.328,0.504
00:00.0,0.266,0.133,0.136,0.207,0.049,0.43,0.273,1.02,0.198,0.931
30:00.0,0.263,1.841,0.125,0.108,0.054,0.396,0.113,0.224,0.263,0.297
00:00.0,0.242,1.821,0.105,0.042,0.041,0.199,0.047,0.222,0.128,0.183
30:00.0,0.295,1.4859999,0.071,0.084,0.001,0.096,0.07,0.24,0.06,0.155
00:00.0,0.24,0.986,0.066,0.065,0,0.101,0.078,0.286,0.059,0.184
30:00.0,0.227,1.073,0.047,0.058,0,0.088,0.048,0.293,0.059,0.198
00:00.0,0.26,0.834,0.046,0.085,0.053,0.095,0.056,0.261,0.058,0.172
30:00.0,0.166,1.186,0.07,0.081,0.053,0.084,0.092,0.223,0.058,0.171
00:00.0,0.129,0.875,0.103,0.058,0.037,0.101,0.048,1.272,0.058,0.223
30:00.0,0.11,1.127,0.086,0.101,0,0.081,0.048,0.378,0.058,0.186
00:00.0,0.096,0.123,0.086,0.067,0,0.116,0.088,0.249,0.058,0.146
30:00.0,0.129,0.279,0.032,0.047,0,0.18,0.058,0.283,0.057,0.148
00:00.0,0.077,0.753,0.032,0.12,0.052,0.341,0.05,0.29,0.059,1.659
30:00.0,0.125,0.138,0.067,0.039,0.052,0.146,0.185,0.27,0.043,0.837
00:00.0,0.108,0.56,0.129,0.078,0.011,0.355,0.412,0.533,0.021,0.744
30:00.0,0.196,0.097,0.099,0.082,0,0.132,0.182,0.417,0.02,0.533
00:00.0,0.151,0.067,0.041,0.063,0,0.244,0.075,1.302,0.02,0.584
30:00.0,0.083,0.244,0.031,0.092,0.04,0.244,0.09,0.759,0.02,0.579
00:00.0,0.164,0.294,0.191,0.622,0.053,0.188,0.048,0.568,0.02,0.353
30:00.0,0.138,0.234,0.175,0.292,0.05,0.167,0.044,0.479,0.058,0.275
00:00.0,0.648,0.248,0.248,0.202,0,0.252,0.089,0.463,0.392,0.217
30:00.0,0.326,0.185,1.125,0.192,0,0.209,0.235,0.423,0.132,0.202
00:00.0,0.36,0.117,0.205,0.115,0,0.213,0.109,0.465,0.313,0.185
30:00.0,0.226,0.153,0.087,0.094,0.039,0.211,0.124,0.427,0.419,0.243
00:00.0,0.271,0.078,0.223,0.15,0.054,0.21,0.119,0.45,0.175,0.201
30:00.0,0.387,0.531,0.521,0.161,0.05,0.17,0.082,0.301,0.192,0.21
00:00.0,0.172,0.601,0.59,0.288,0,0.154,0.071,0.284,0.162,0.24
30:00.0,0.174,0.213,0.557,0.134,0,0.171,0.113,0.263,0.301,0.254
00:00.0,0.141,0.276,0.471,0.153,0,0.155,0.081,0.236,0.107,0.337
30:00.0,0.135,0.198,0.291,0.177,0.038,0.163,0.071,0.263,0.06,0.223
00:00.0,0.101,0.099,0.23,0.11,0.054,0.158,0.402,1.377,0.086,0.18
30:00.0,0.158,0.156,0.375,0.211,0.027,0.203,0.22,0.311,0.313,1.176
00:00.0,0.08,0.151,0.517,0.125,0,0.235,0.156,0.294,0.168,0.319
30:00.0,0.148,0.108,0.2,0.113,0,0.201,0.147,1.05,0.166,1.531
00:00.0,0.09,0.155,0.676,0.192,0.023,0.188,0.129,0.417,0.334,4.0339999
30:00.0,0.59,0.121,0.183,0.265,0.055,0.456,0.125,0.367,0.249,1.233
00:00.0,0.394,0.114,0.208,0.387,0.051,1.098,0.21,0.403,0.297,1.08
30:00.0,0.296,0.12,0.296,0.199,0.006,1.303,0.192,1.73,0.467,1.9069999
00:00.0,0.285,0.122,1.5829999,0.212,0,1.112,0.15,0.544,0.486,1.971
30:00.0,0.645,0.188,0.311,0.248,0,0.464,0.16,0.569,0.424,1.957
00:00.0,0.854,0.223,0.231,0.216,0.04,0.391,0.513,0.525,0.314,2.638
30:00.0,0.221,0.252,0.258,0.236,0.054,0.409,0.89,1.0880001,0.249,1.373
00:00.0,0.904,0.216,0.331,0.259,0.05,0.389,0.698,0.626,0.305,1.243
30:00.0,1.133,0.331,0.318,0.208,0.001,0.589,0.447,0.616,0.226,1.699
00:00.0,1.143,0.259,0.258,0.218,0,0.435,0.268,0.655,0.367,1.142
30:00.0,1.107,0.145,0.253,0.211,0,0.4,0.245,0.671,0.754,0.577
00:00.0,0.573,0.109,0.385,0.323,0.038,0.439,0.246,0.58,0.784,1.388
30:00.0,0.232,0.108,0.248,0.169,0.054,0.402,0.285,0.503,0.761,0.339
00:00.0,0.166,0.061,0.187,0.181,0.051,0.418,0.232,0.46,0.607,0.312
30:00.0,0.173,3.1500001,0.069,0.045,0.004,0.342,0.08,0.286,0.272,0.272
00:00.0,0.181,3.115,0.056,0.091,0,0.132,0.079,1.471,0.243,0.271
30:00.0,0.157,2.747,0.033,0.06,0,0.069,0.069,0.23,0.132,0.202
00:00.0,0.193,2.1300001,0.039,0.049,0.03,0.056,0.048,0.276,0.06,0.153
30:00.0,0.147,2.5880001,0.093,0.116,0.055,0.056,0.068,0.276,0.059,0.144
00:00.0,0.194,2.2320001,0.118,0.073,0.051,0.061,0.081,0.255,0.059,0.187
30:00.0,0.149,2.563,0.1,0.088,0.006,0.057,0.048,0.215,0.059,0.203
00:00.0,0.121,2.306,0.08,0.108,0,0.054,0.049,0.215,0.059,0.166
30:00.0,0.105,2.503,0.054,0.129,0,0.06,0.094,1.487,0.059,0.141
00:00.0,0.093,2.3080001,0.032,0.11,0.023,0.057,0.053,0.208,0.047,0.176
30:00.0,0.12,2.5039999,0.068,0.091,0.056,0.249,0.048,0.257,0.021,0.183
00:00.0,0.075,1.946,0.071,0.068,0.037,0.1,0.079,0.281,0.02,0.161
30:00.0,0.121,1.6849999,0.104,0.091,0,0.107,0.187,0.278,0.021,0.216
00:00.0,0.076,2.0450001,0.087,0.096,0,0.242,0.374,0.306,0.02,0.224
30:00.0,0.117,0.112,0.032,0.07,0.002,0.313,0.218,0.517,0.022,0.262
00:00.0,0.09,0.293,0.035,0.09,0.056,0.313,0.391,1.698,0.087,0.565
30:00.0,0.1,0.197,0.116,0.088,0.052,0.209,0.174,0.914,0.344,0.459
00:00.0,0.105,0.108,0.489,0.588,0.029,0.191,0.08,0.801,0.251,0.289
30:00.0,0.085,0.107,0.494,0.307,0,0.421,0.112,1.38,0.197,0.398
00:00.0,0.161,0.221,0.162,0.108,0,0.135,0.08,0.879,0.497,0.221
30:00.0,0.304,0.234,0.113,0.13,0,0.127,0.072,0.737,0.16,0.204
00:00.0,0.795,0.243,0.104,0.196,0.053,0.122,0.094,0.638,0.147,0.194
30:00.0,0.543,0.689,0.105,0.431,0.053,0.122,0.714,0.538,0.093,0.274
00:00.0,0.249,0.261,0.074,0.866,0.035,0.188,0.21,0.691,0.323,0.239
30:00.0,0.688,0.268,0.063,0.749,0,1.1900001,0.829,0.4,0.24,0.23
00:00.0,0.163,0.159,0.103,0.59,0,0.687,1.211,0.468,0.223,1.827
30:00.0,0.173,0.101,0.109,0.179,0,0.224,1.314,0.461,0.246,1.9069999
00:00.0,0.157,0.089,0.198,0.181,0.045,0.209,0.451,0.367,0.128,0.734
30:00.0,0.189,0.074,0.76,0.207,0.053,0.387,0.492,1.457,0.126,3.7579999
00:00.0,0.119,0.138,0.209,0.142,0.041,0.108,0.226,0.286,0.133,1.376
30:00.0,0.183,0.104,0.16,0.184,0,0.124,0.193,0.281,0.127,1.006
00:00.0,0.119,0.152,0.167,0.239,0,0.478,0.141,0.29,0.125,0.953
30:00.0,0.133,0.233,0.156,0.182,0,0.278,0.176,0.314,0.099,1.2079999
00:00.0,0.166,0.17,0.186,0.183,0.038,0.364,0.19,0.366,0.069,1.168
30:00.0,0.109,0.195,0.164,0.269,0.054,0.5,0.183,0.533,0.183,2.3299999
00:00.0,0.315,0.346,0.166,0.377,0.046,0.392,0.201,2.2279999,0.32,3.098
30:00.0,0.229,0.173,0.159,0.249,0,0.409,0.214,0.79,0.293,2.8800001
00:00.0,0.278,0.162,0.153,0.266,0,0.414,0.163,0.5,0.35,3.1070001
30:00.0,0.255,0.175,0.113,0.269,0,0.391,0.154,0.668,0.442,2.3929999
00:00.0,1.095,0.151,0.107,0.206,0.031,0.506,0.744,0.899,0.381,0.835
30:00.0,0.259,0.176,0.123,0.24,0.054,0.548,0.723,0.713,0.245,1.937
00:00.0,0.208,0.185,0.13,0.216,0.031,0.399,0.926,1.558,0.328,0.846
30:00.0,0.274,0.117,0.165,0.192,0,0.37,0.409,1.138,0.308,0.634
00:00.0,0.237,0.146,0.163,0.266,0,0.392,0.229,1.432,0.331,1.929
30:00.0,0.269,0.204,0.176,0.299,0.008,0.409,0.208,2.023,0.298,1.278
00:00.0,0.261,0.157,0.184,0.206,0.055,0.375,0.215,1.533,0.326,0.651
30:00.0,0.241,0.122,0.155,0.184,0.041,0.273,0.254,0.584,0.204,1.038
00:00.0,0.253,0.174,0.108,0.155,0,0.164,0.167,0.596,0.082,0.624
30:00.0,0.204,3.2260001,0.08,0.085,0,0.107,0.11,0.372,0.063,0.741
00:00.0,0.263,3.056,0.104,0.075,0.009,0.066,0.087,0.297,0.062,0.478
30:00.0,0.225,3.089,0.118,0.043,0.056,0.053,0.089,0.215,0.063,0.247
00:00.0,0.143,2.2279999,0.053,0.096,0.051,0.054,0.071,0.214,0.062,0.155
30:00.0,0.115,2.4690001,0.033,0.054,0.019,0.06,0.066,0.219,0.062,0.188
00:00.0,0.089,2.2820001,0.041,0.047,0,0.055,0.108,1.3660001,0.062,0.212
30:00.0,0.123,2.6370001,0.069,0.105,0,0.052,0.073,0.249,0.061,0.189
00:00.0,0.075,2.336,0.119,0.049,0.011,0.057,0.048,0.289,0.061,0.175
30:00.0,0.121,2.602,0.089,0.064,0.055,0.059,0.089,0.291,0.06,0.18
00:00.0,0.091,2.2820001,0.032,0.093,0.052,0.059,0.062,0.253,0.06,0.226
30:00.0,0.103,2.313,0.047,0.048,0.015,0.263,0.048,0.217,0.286,0.192
00:00.0,0.107,2.069,0.069,0.078,0,0.11,0.067,0.221,0.193,0.446
30:00.0,0.086,1.601,0.067,0.084,0,0.097,0.182,1.397,0.322,0.244
00:00.0,0.117,2.2550001,0.089,0.058,0.006,0.135,0.348,0.549,0.265,0.257
30:00.0,0.074,0.104,0.051,0.126,0.055,0.384,0.214,0.376,0.333,0.187
00:00.0,0.116,0.126,0.064,0.058,0.043,0.297,0.129,0.446,0.192,1.5880001
30:00.0,0.078,0.24,0.113,0.411,0,0.278,0.047,0.549,0.201,1.937
00:00.0,0.25,0.301,0.213,0.151,0,0.301,0.047,0.532,0.164,0.902
30:00.0,0.48,0.258,1.035,0.21,0,0.191,0.484,0.488,0.189,0.216
00:00.0,0.096,0.208,0.338,0.111,0.051,0.339,0.365,0.501,0.126,0.177
30:00.0,0.118,0.273,0.146,0.061,0.052,0.294,0.438,0.49,0.108,0.27
00:00.0,0.08,0.213,0.097,0.114,0.013,0.264,0.58,0.507,0.483,0.298
30:00.0,0.116,0.274,0.062,0.112,0,0.268,0.113,0.529,0.17,0.498
00:00.0,0.075,0.379,0.054,0.809,0,0.267,0.071,0.556,0.335,0.22
30:00.0,0.118,0.265,0.106,0.715,0.02,0.206,0.077,0.366,0.096,0.239
00:00.0,0.445,0.219,0.133,0.544,0.054,0.187,0.115,1.4630001,0.111,0.552
30:00.0,0.375,0.188,0.109,0.171,0.029,0.185,0.071,0.296,0.249,0.304
00:00.0,0.124,0.194,0.062,0.234,0,0.176,0.545,0.301,0.278,0.238
30:00.0,0.165,0.189,0.054,0.163,0,0.185,1.12,0.295,0.148,0.634
00:00.0,0.52,0.13,0.083,0.179,0.016,0.557,0.754,0.306,0.181,0.693
30:00.0,0.257,0.192,0.121,0.182,0.055,0.375,0.17,0.357,0.299,0.606
00:00.0,0.224,0.362,0.126,0.257,0.03,0.364,0.149,0.355,0.211,0.467
30:00.0,0.156,0.244,0.116,0.238,0,0.341,0.234,1.472,0.245,1.323
00:00.0,0.358,0.164,0.072,0.22,0,0.315,0.183,0.319,0.64,3.201
30:00.0,0.383,0.142,0.059,0.218,0.02,0.415,0.098,0.451,0.641,4.4809999
00:00.0,0.36,0.145,0.088,0.395,0.054,0.622,0.132,0.409,0.692,3.546
30:00.0,0.344,0.06,0.114,0.232,0.05,0.374,0.085,0.335,0.692,2.013
00:00.0,0.322,0.104,0.125,0.222,0.003,0.384,0.088,1.382,0.841,1.367
30:00.0,0.335,0.137,0.127,0.258,0,0.355,0.094,2.016,1.035,1.705
00:00.0,1.1109999,0.08,0.096,0.223,0,0.495,0.097,0.908,0.946,2.352
30:00.0,0.255,0.097,0.06,0.203,0.029,0.365,0.072,0.595,0.611,1.682
00:00.0,0.237,0.088,0.083,0.258,0.054,0.342,0.079,0.578,0.274,1.0880001
30:00.0,0.269,0.121,0.096,0.237,0.02,0.361,0.096,1.285,0.392,1.223
00:00.0,0.269,0.198,0.22,0.204,0,0.346,0.075,1.572,0.372,1.569
30:00.0,0.251,0.133,0.387,0.227,0,0.44,0.158,2.0880001,0.401,0.961
00:00.0,0.287,0.116,0.247,0.517,0.027,0.488,0.317,1.5829999,0.387,0.999
30:00.0,0.216,0.147,0.189,0.15,0.054,0.38,0.235,0.523,0.356,1.409
00:00.0,0.259,0.153,0.136,0.209,0.046,0.251,0.234,0.458,0.332,1.613
30:00.0,0.226,3.1860001,0.059,0.148,0.001,0.101,0.205,0.213,0.221,1.4529999
00:00.0,0.263,3.039,0.069,0.113,0,0.06,0.076,0.229,0.079,0.761
30:00.0,0.277,3.1300001,0.105,0.074,0,0.073,0.048,0.214,0.059,0.602
00:00.0,0.254,3.099,0.099,0.052,0.033,0.067,0.061,0.215,0.059,0.44
30:00.0,0.262,2.155,0.055,0.12,0.054,0.051,0.086,0.277,0.058,0.275
00:00.0,0.09,2.5680001,0.05,0.091,0.016,0.055,0.049,1.4400001,0.059,0.22
30:00.0,0.124,2.375,0.054,0.048,0,0.053,0.047,0.368,0.058,0.218
00:00.0,0.09,2.4809999,0.069,0.103,0,0.06,0.085,0.211,0.058,0.173
30:00.0,0.107,2.3380001,0.09,0.112,0.026,0.075,0.062,0.212,0.058,0.186
00:00.0,0.107,2.6070001,0.075,0.059,0.054,0.075,0.048,0.214,0.057,0.247
30:00.0,0.089,2.3069999,0.059,0.081,0.046,0.069,0.064,0.208,0.057,0.199
00:00.0,0.12,2.2490001,0.058,0.127,0,0.311,0.082,0.227,0.058,0.22
30:00.0,0.074,1.745,0.069,0.069,0,0.579,0.047,1.2970001,0.044,0.205
00:00.0,0.117,2.0179999,0.064,0.054,0,0.675,0.045,0.603,0.019,0.448
30:00.0,0.075,0.119,0.052,0.13,0.021,0.339,0.081,0.511,0.019,0.241
00:00.0,0.118,0.17,0.058,0.082,0.054,0.224,0.058,0.453,0.019,1.591
30:00.0,0.086,0.267,0.107,0.072,0.05,0.165,0.117,0.697,0.411,0.728
00:00.0,0.103,0.222,0.191,0.222,0.001,0.167,0.126,1.323,0.136,0.739
30:00.0,0.099,0.242,0.543,0.239,0,0.289,0.419,1.939,0.225,0.274
00:00.0,0.142,0.212,0.337,0.127,0,0.228,0.303,1.735,0.286,0.173
30:00.0,0.362,0.147,0.233,0.156,0.012,0.316,0.217,1.971,0.11,0.167
00:00.0,0.257,0.098,0.53,0.141,0.053,0.357,0.167,1.261,0.169,0.196
30:00.0,0.357,0.074,0.473,0.132,0.052,0.318,0.068,1.108,0.172,0.239
00:00.0,0.31,0.098,0.093,0.291,0.009,0.259,0.156,1.447,0.183,0.386
30:00.0,0.187,0.138,0.085,0.138,0,0.281,0.179,1.944,0.238,0.442
00:00.0,0.119,0.232,0.996,0.54,0,0.274,0.156,1.933,0.142,2.0869999
30:00.0,0.115,0.243,0.59,0.257,0.001,0.45,0.154,1.941,0.272,2.836
00:00.0,0.094,0.178,0.156,0.205,0.054,0.281,0.221,1.975,0.135,1.698
30:00.0,0.105,0.134,0.126,0.22,0.049,0.371,0.238,0.889,0.173,2.6700001
00:00.0,0.331,0.092,0.089,0.175,0.001,0.309,0.339,0.471,0.143,2.036
30:00.0,0.316,0.084,0.09,0.245,0,0.309,0.173,0.446,0.279,1.937
00:00.0,0.176,0.137,0.143,0.205,0,0.46,0.15,0.775,0.307,1.839
30:00.0,0.16,0.124,0.148,0.199,0.035,0.365,0.276,0.623,0.295,2.355
00:00.0,0.23,0.106,0.197,0.208,0.054,0.294,0.467,0.679,0.814,1.638
30:00.0,0.214,0.153,0.205,0.254,0.032,0.294,0.431,1.41,0.514,1.224
00:00.0,0.228,0.71,0.382,0.408,0,0.305,0.378,1.45,0.539,1.447
30:00.0,0.219,0.149,0.2,0.209,0,0.502,0.181,0.725,0.274,1.296
00:00.0,0.227,0.115,0.542,0.245,0,0.449,0.15,0.666,0.292,1.471
30:00.0,0.308,0.066,0.511,0.22,0.032,0.358,0.133,0.639,0.365,1.71
00:00.0,1.1289999,0.078,0.324,0.197,0.054,0.326,0.096,0.702,0.402,1.734
30:00.0,0.622,0.144,0.343,0.229,0.019,0.376,0.096,0.782,0.373,1.2690001
00:00.0,0.259,0.684,0.262,0.243,0,0.562,0.149,0.784,0.512,0.598
30:00.0,0.203,0.174,0.297,0.199,0,0.512,0.113,1.6950001,0.491,0.626
00:00.0,0.26,0.187,0.385,0.201,0.007,0.437,0.107,0.721,0.275,0.795
30:00.0,0.224,0.557,0.281,0.226,0.053,0.389,0.101,0.724,0.275,0.605
00:00.0,0.239,1.024,0.373,0.35,0.043,0.297,0.144,0.669,0.363,1.433
30:00.0,0.253,0.879,0.246,0.144,0,0.202,0.37,0.728,0.321,1.761
00:00.0,0.255,0.107,0.139,0.194,0,0.073,0.205,0.593,0.359,0.911
30:00.0,0.247,3.22,0.066,0.097,0,0.072,0.211,0.318,0.592,1.37
00:00.0,0.219,3.142,0.067,0.049,0.046,0.07,0.256,0.22,0.571,0.742
30:00.0,0.263,2.6589999,0.097,0.058,0.052,0.051,0.138,0.214,0.427,1.1670001
00:00.0,0.212,2.494,0.067,0.095,0.002,0.055,0.068,0.225,0.064,0.517
30:00.0,0.264,2.2090001,0.067,0.049,0,0.055,0.08,0.207,0.058,0.36
00:00.0,0.2,2.4430001,0.103,0.048,0,0.058,0.071,1.4529999,0.059,1.054
30:00.0,0.122,2.2609999,0.06,0.102,0.039,0.076,0.048,0.416,0.059,0.202
00:00.0,0.098,2.711,0.052,0.134,0.053,0.081,0.048,0.232,0.059,0.214
30:00.0,0.099,2.375,0.087,0.091,0.006,0.075,0.091,0.217,0.057,0.246
00:00.0,0.113,2.293,0.068,0.111,0,0.06,0.06,0.208,0.058,0.256
30:00.0,0.084,2.4820001,0.067,0.083,0,0.071,0.048,0.214,0.057,0.187
00:00.0,0.121,2.3429999,0.06,0.049,0.032,0.109,0.051,0.24,0.058,0.204
30:00.0,0.074,1.873,0.062,0.049,0.054,0.284,0.094,1.248,0.057,0.283
00:00.0,0.118,1.549,0.09,0.096,0.012,0.125,0.053,0.665,0.086,0.592
30:00.0,0.074,0.16,0.071,0.076,0,0.289,0.048,0.271,0.125,0.247
