DateTime,Meter 01,Meter 02,Meter 03,Meter 04,Meter 05,Meter 06,Meter 07,Meter 08,Meter 09,Meter 010
30:00.0,0.138,0.932,0.331,0.61,0.054,0.201,0.082,0.256,0.149,0.54
00:00.0,0.076,0.162,1.002,0.151,0.05,0.129,0.116,0.3,0.064,3.4749999
30:00.0,0.133,0.199,0.147,0.178,0.032,0.129,0.097,0.295,0.158,2.28
00:00.0,0.076,0.152,0.119,0.134,0,0.123,0.211,0.239,0.071,3.1600001
30:00.0,0.133,0.154,0.213,0.101,0,0.281,0.321,0.24,0.067,0.861
00:00.0,0.085,0.198,0.094,0.181,0.008,0.122,0.106,0.228,0.06,1.063
30:00.0,0.263,0.114,0.061,0.239,0.055,0.111,0.077,0.261,0.149,0.996
00:00.0,0.134,0.123,0.079,0.152,0.049,0.122,0.118,0.302,0.132,0.989
30:00.0,0.235,0.146,0.113,0.233,0.038,0.14,0.144,0.291,0.153,0.968
00:00.0,0.124,0.149,0.216,0.254,0,0.113,0.125,0.29,0.157,0.996
30:00.0,0.184,0.143,0.157,0.271,0,0.118,0.136,0.252,0.25,0.826
00:00.0,0.23,0.114,0.154,0.226,0.002,0.109,0.149,0.229,0.143,2.6689999
30:00.0,0.176,0.096,0.15,0.227,0.055,0.123,0.092,0.249,0.236,1.204
00:00.0,0.388,0.185,0.216,0.202,0.051,0.403,0.298,0.299,0.373,1.234
30:00.0,0.26,0.484,0.362,0.198,0.019,0.294,0.395,0.295,0.415,2.345
00:00.0,0.918,0.74,0.187,0.249,0,0.196,0.201,0.253,0.298,1.7029999
30:00.0,0.278,0.254,0.231,0.25,0,0.221,0.058,0.459,0.239,0.616
00:00.0,0.267,0.188,0.257,0.201,0.031,0.358,0.081,0.989,0.242,0.716
30:00.0,0.239,0.202,0.243,0.242,0.053,0.458,0.094,0.726,0.302,0.639
00:00.0,0.23,0.201,0.193,0.316,0.05,0.233,0.081,0.453,0.366,0.865
30:00.0,0.233,0.177,0.308,0.17,0.027,0.257,0.058,1.005,0.441,0.728
00:00.0,0.235,0.213,0.198,0.192,0,0.257,0.113,0.472,0.357,0.982
30:00.0,0.188,0.154,0.197,0.181,0,0.255,0.086,0.317,0.2,0.587
00:00.0,0.259,0.147,0.099,0.065,0.013,0.163,0.323,0.26,0.195,1.183
30:00.0,0.25,0.165,0.075,0.067,0.055,0.074,0.199,0.207,0.182,0.577
00:00.0,0.262,0.129,0.032,0.083,0.05,0.052,0.114,0.277,0.067,0.375
30:00.0,0.166,1.4069999,0.031,0.048,0.018,0.064,0.076,0.27,0.06,0.231
00:00.0,0.226,1.454,0.047,0.056,0,0.062,0.053,0.247,0.06,0.218
30:00.0,0.088,0.404,0.091,0.091,0,0.049,0.124,0.207,0.059,0.228
00:00.0,0.126,0.145,0.104,0.048,0.028,0.071,0.067,0.216,0.06,0.238
30:00.0,0.082,0.659,0.074,0.048,0.054,0.053,0.054,0.218,0.06,0.178
00:00.0,0.123,0.089,0.066,0.109,0.051,0.049,0.087,0.259,0.059,0.182
30:00.0,0.083,0.116,0.067,0.04,0.014,0.067,0.085,0.28,0.059,0.184
00:00.0,0.12,0.374,0.096,0.048,0,0.059,0.055,0.24,0.059,0.221
30:00.0,0.079,0.126,0.067,0.109,0,0.091,0.061,0.218,0.059,0.253
00:00.0,0.121,0.169,0.054,0.045,0.023,0.222,0.1,0.204,0.059,0.2
30:00.0,0.075,0.47,0.032,0.046,0.054,0.321,0.059,0.217,0.058,0.242
00:00.0,0.124,0.084,0.041,0.125,0.05,0.31,0.053,0.295,0.057,0.254
30:00.0,0.073,0.127,0.069,0.13,0.022,0.314,0.083,0.514,0.058,0.286
00:00.0,0.125,0.394,0.119,0.071,0,0.2,0.08,0.355,0.058,0.279
30:00.0,0.07,0.292,0.272,0.121,0,0.551,0.051,0.344,0.057,0.184
00:00.0,0.13,0.259,0.417,0.227,0.009,0.318,0.051,0.315,0.258,0.257
30:00.0,0.108,0.742,0.258,0.229,0.054,0.425,0.101,0.299,0.097,2.743
00:00.0,0.196,0.509,0.171,0.226,0.049,1.533,0.106,0.495,0.061,2.987
30:00.0,0.346,0.558,0.269,0.197,0.032,1.131,0.335,0.398,0.058,1.763
00:00.0,0.524,0.532,0.516,0.229,0,0.806,0.218,0.338,0.057,2.664
30:00.0,0.076,0.686,0.309,0.369,0,0.758,0.165,0.273,0.058,1.142
00:00.0,0.129,1.595,0.105,0.68,0,1.1950001,0.123,0.258,0.057,1.913
30:00.0,0.667,0.274,0.142,0.602,0.054,1.261,0.1,0.265,0.058,1.0319999
00:00.0,0.23,0.202,0.131,1.248,0.052,1.806,0.133,0.247,0.157,0.869
30:00.0,0.22,0.163,0.273,0.15,0.036,1.182,0.209,0.356,0.088,0.82
00:00.0,0.163,0.166,0.123,0.222,0,0.741,0.154,0.37,0.418,0.857
30:00.0,0.091,0.072,0.061,0.298,0,0.394,0.299,0.36,0.325,0.624
00:00.0,0.17,0.125,0.033,0.132,0,0.245,0.461,0.309,0.346,2.1860001
30:00.0,0.11,0.147,0.07,0.304,0.055,0.323,1.385,0.322,0.35,0.579
00:00.0,0.11,0.135,0.085,0.153,0.05,0.247,0.666,0.295,0.275,1.137
30:00.0,0.121,0.121,0.099,0.214,0.036,0.316,1.279,0.343,0.169,1.043
00:00.0,0.099,0.084,0.125,0.212,0,0.386,1.596,0.361,0.267,0.897
30:00.0,0.157,0.063,0.2,0.313,0,0.182,1.3839999,0.328,0.21,0.941
00:00.0,0.093,0.144,0.452,0.261,0.003,0.182,0.281,0.268,0.217,1.274
30:00.0,0.371,0.232,1.124,0.227,0.054,0.432,0.115,0.267,0.33,2.164
00:00.0,0.386,0.356,1.691,0.208,0.051,0.566,0.057,0.277,0.282,1.2539999
30:00.0,1.085,0.465,0.279,0.296,0.044,0.562,0.119,0.313,0.337,1.109
00:00.0,1.075,0.176,0.474,0.27,0,0.313,0.076,0.338,0.273,1.119
30:00.0,0.956,0.19,0.229,0.301,0,0.486,0.058,0.306,0.28,1.072
00:00.0,0.821,0.142,0.364,0.336,0,0.3,0.087,0.282,0.322,1.193
30:00.0,0.745,0.127,0.504,0.199,0.045,0.365,0.108,0.3,0.293,1.089
00:00.0,0.712,0.189,0.224,0.239,0.051,0.284,0.058,0.345,0.158,0.651
30:00.0,0.511,0.184,0.308,0.316,0.031,0.286,0.07,0.374,0.146,1.252
00:00.0,0.231,0.131,0.265,0.209,0,0.284,0.108,0.349,0.146,0.537
30:00.0,0.21,0.153,0.188,0.177,0,0.183,0.572,0.238,0.147,0.324
00:00.0,0.278,0.122,0.108,0.078,0.014,0.158,0.239,0.216,0.134,0.246
30:00.0,0.159,0.064,0.078,0.089,0.055,0.106,0.141,0.219,0.06,0.244
00:00.0,0.192,0.107,0.101,0.066,0.048,0.1,0.085,0.207,0.059,0.206
30:00.0,0.097,1.406,0.072,0.048,0.017,0.052,0.054,0.289,0.059,0.226
00:00.0,0.141,1.455,0.067,0.097,0,0.074,0.08,0.262,0.059,0.19
30:00.0,0.083,0.813,0.068,0.057,0,0.07,0.081,0.242,0.059,0.189
00:00.0,0.132,0.077,0.088,0.054,0.029,0.056,0.052,0.199,0.059,0.162
30:00.0,0.07,0.363,0.067,0.1,0.053,0.057,0.058,0.226,0.059,0.148
00:00.0,0.13,0.117,0.074,0.066,0.047,0.069,0.097,0.199,0.058,0.191
30:00.0,0.074,0.33,0.033,0.066,0,0.059,0.057,0.275,0.059,0.204
00:00.0,0.124,0.052,0.06,0.104,0,0.049,0.051,0.271,0.058,0.158
30:00.0,0.078,0.184,0.07,0.051,0,0.073,0.106,0.234,0.058,0.146
00:00.0,0.118,0.191,0.078,0.087,0.048,0.053,0.186,0.21,0.057,0.137
30:00.0,0.082,0.075,0.106,0.083,0.052,0.056,0.356,0.21,0.058,0.248
